src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,55000000,39161832,37117708,94161832
0b000401,0b001801,10000,100,442622950,194000000,45184128,37117708,239184128
0b000801,0b001801,10000,100,442622950,227000000,45251677,37117708,272251677
0b000501,0b001801,10000,100,442622950,297000000,80593546,37117708,377593546
0b000101,0b001801,10000,100,442622950,299000000,91481613,37117708,390481613
0b000901,0b001801,10000,100,442622950,365000000,178056929,37117708,543056929
0b000301,0b001801,10000,100,442622950,375000000,175698025,37117708,550698025
0b000701,0b001801,10000,100,442622950,383000000,176370232,37117708,559370232
0b000201,0b001801,10000,100,442622950,385000000,175761669,37117708,560761669
0b000601,0b001801,10000,100,442622950,426000000,144089554,37117708,570089554
